1500p;1;"C2";C1
100n;1;"C3";C1
150n;1;"C6";C1
330n;1;"C7";C1
680n;2;"C8 C9";C1
10u;1;"C1";C1V5
100u;1;"C4";C1V8
330u;1;"C5";C1V8
BAT42;1;"D1";D3
1N5819;1;"D2";D4
LED;3;"D3 D4 D5";LED-5MM
ATTINY85-P;1;"IC1";DIP-8__300
JUMPER;1;"JP1";PIN_ARRAY_2X1
170/220 uH;1;"L1";D4
Bat1;1;"P1";CH-224
Bat2;1;"P2";CH-224
0.22/0.33;1;"R1";R7
180;1;"R3";R3
200;3;"R9 R10 R11";R3
330;1;"R12";R3
510;3;"R4 R8 R23";R3
1k;2;"R2 R13";R3
4k7;11;"R5 R6 R14 R15 R16 R17 R18 R19 R20 R21 R22";R3
10k;1;"R7";R3
10k;2;"RV1 RV2";RVB1
piezo;1;"SP1";buzzer_PKM13
SW_PSXXX;1;"SW1";Butt_B170
Kb;8;"SW2 SW3 SW4 SW5 SW6 SW7 SW8 SW9";butt_TC-3120
74LS125;1;"U2";DIP-14__300
74HC595;1;"U3";DIP-16__300
74LS165;1;"U5";DIP-16__300
MC34063;1;"U1";DIP-8__300
LCD;1;"U6";LCD1602
MICROSD;1;"U4";pin_array_8x1
